cloudiness,rain,temp_max,wind_speed,visibility,humidity,OLS,is_outlier,DATE
49.29166667,0.0,102.11,8.004583333,9967.238095,72.33333333,1.5018989227543877,False,171
27.5,23.22,100.11,10.44615385,10000.0,71.46153846,2.1931529323589896,False,172
60.0,0.14,101.1,8.534166667,9984.363636,72.5,1.7339900876146332,False,173
53.75,1.0,100.09,10.4975,10000.0,77.16666667,1.5059732986954588,False,174
45.41666667,0.0,101.01,11.0575,10000.0,74.125,1.4282856745890007,False,175
39.95833333,0.0,101.01,10.05833333,10000.0,72.58333333,1.277450018143753,False,176
41.04166667,0.0,102.11,9.307083333,10000.0,70.79166667,1.2755701807544608,False,177
34.58333333,0.0,102.0,9.351666667,10000.0,70.58333333,1.2792118930886167,False,178
17.0,0.0,101.08,9.88625,10000.0,70.5,1.7985339132324392,False,179
20.83333333,0.0,101.05,9.927916667,10000.0,69.875,1.6159779093751552,False,180
17.29166667,0.0,103.1,8.36,10000.0,68.79166667,1.6574752327037654,False,181
43.44,3.11,98.98,9.3532,10000.0,72.04,1.0926003784206904,False,182
42.16666667,0.96,101.1,7.829583333,10000.0,72.54166667,1.340540708746094,False,183
19.16666667,12.0,96.03,9.427916667,10000.0,74.45833333,1.9420533595273919,False,184
42.08333333,8.25,96.12,10.11583333,10000.0,75.29166667,1.2166071274624548,False,185
26.78571429,33.81,89.6,10.11607143,9351.571429,85.07142857,3.2808027663412944,False,186
54.0,16.27,91.38,7.223846154,9240.434783,86.96153846,2.1649012977772304,False,187
34.42307692,5.73,95.14,10.04923077,10000.0,79.26923077,1.7552969877963303,False,188
48.25,1.61,98.11,9.87375,10000.0,77.375,1.3698902679868261,False,189
47.16666667,0.47,102.02,8.25875,9983.619048,74.16666667,1.4484447784832581,False,190
62.625,0.77,101.08,9.685833333,10000.0,74.29166667,1.711171577033235,False,191
51.20833333,0.0,102.09,11.41958333,10000.0,74.04166667,1.5606421443206626,False,192
56.29166667,0.0,103.08,11.76083333,10000.0,73.16666667,1.7306169493107442,False,193
53.08333333,0.0,102.11,10.94041667,9983.619048,73.33333333,1.51824675294683,False,194
27.29166667,0.0,103.1,10.88583333,9985.666667,71.25,1.696154181991638,False,195
18.08333333,0.0,104.11,8.13,9797.619048,69.58333333,1.742036645934,False,196
