date,temp_max,humidity,visibility,cloudiness,wind_speed,rain
6/27/2023,102.11,70.79166667,10000,41.04166667,9.307083333,
6/28/2023,102,70.58333333,10000,34.58333333,9.351666667,
6/29/2023,101.08,70.5,10000,17,9.88625,
6/30/2023,101.05,69.875,10000,20.83333333,9.927916667,
7/1/2023,103.1,68.79166667,10000,17.29166667,8.36,
7/2/2023,98.98,72.04,10000,43.44,9.3532,3.11
7/3/2023,101.1,72.54166667,10000,42.16666667,7.829583333,0.96
7/4/2023,96.03,74.45833333,10000,19.16666667,9.427916667,12
7/5/2023,96.12,75.29166667,10000,42.08333333,10.11583333,8.25
7/6/2023,89.6,85.07142857,9351.571429,26.78571429,10.11607143,33.81
7/7/2023,91.38,86.96153846,9240.434783,54,7.223846154,16.27
7/8/2023,95.14,79.26923077,10000,34.42307692,10.04923077,5.73
7/9/2023,98.11,77.375,10000,48.25,9.87375,1.61
7/10/2023,102.02,74.16666667,9983.619048,47.16666667,8.25875,0.47
7/11/2023,101.08,74.29166667,10000,62.625,9.685833333,0.77
7/12/2023,102.09,74.04166667,10000,51.20833333,11.41958333,
7/13/2023,103.08,73.16666667,10000,56.29166667,11.76083333,
7/14/2023,102.11,73.33333333,9983.619048,53.08333333,10.94041667,
7/15/2023,103.1,71.25,9985.666667,27.29166667,10.88583333,
7/16/2023,104.11,69.58333333,9797.619048,18.08333333,8.13,
7/17/2023,103.05,67.375,10000,20.66666667,8.922916667,
7/18/2023,103.1,69.25,10000,22.29166667,8.588333333,
7/19/2023,103.1,69.58333333,10000,20.375,9.377083333,
7/20/2023,102.09,69.08333333,10000,22.125,8.212083333,
7/21/2023,101.08,70.125,10000,22.625,8.359166667,
7/22/2023,103.1,69.95833333,10000,45.625,8.635,
7/23/2023,103.05,64.33333333,10000,41.41666667,7.997916667,6.33
7/24/2023,100.98,69,10000,43.16666667,4.46125,3.4
7/25/2023,98.1,71.75,10000,45.16666667,8.289583333,
7/26/2023,101.05,68.375,10000,17.875,8.832083333,
7/27/2023,99.1,68.70833333,10000,19.08333333,8.661666667,0.24
7/28/2023,100.06,66.54166667,10000,19.58333333,6.58625,
7/29/2023,101.08,68.125,10000,55.83333333,5.844166667,0.25
7/30/2023,102.11,68.45833333,10000,24.91666667,6.620416667,
7/31/2023,105.12,64.75,10000,36.33333333,6.791666667,
8/1/2023,103.05,63.41666667,10000,28.70833333,6.975416667,
8/2/2023,104.02,63.875,10000,35.41666667,7.442083333,
8/3/2023,102.11,68.20833333,10000,14.33333333,8.31125,0.32
8/4/2023,103.1,68.83333333,10000,21.45833333,9.394166667,
8/5/2023,104.11,68.625,10000,21.20833333,8.847916667,0.15
8/6/2023,104.04,68.33333333,10000,24.75,9.674166667,
8/7/2023,104.11,68.70833333,10000,21.20833333,9.974583333,
8/8/2023,104.02,70.33333333,10000,20.54166667,10.3875,
8/9/2023,103.1,70.70833333,9985.043478,34.16666667,12.52,
8/10/2023,104.99,70.54166667,9985.043478,28.08333333,13.52208333,
8/11/2023,105.12,70.20833333,9890.619048,42.41666667,10.69833333,
8/12/2023,105.12,71.45833333,9720.952381,43.04166667,10.61958333,0.11
8/13/2023,105.12,70.29166667,9814,20.875,9.292916667,
8/14/2023,106.03,69.33333333,10000,23.75,8.137083333,
8/15/2023,104.04,66.29166667,10000,37.66666667,9.90625,
8/16/2023,102.18,44.45833333,10000,39.875,9.561666667,
8/17/2023,106.02,61.25,9838.045455,18.20833333,7.085,
8/18/2023,104.11,66.70833333,10000,21.70833333,8.359583333,
8/19/2023,104.11,66.91666667,10000,15.45833333,6.9975,
8/20/2023,108.1,66.54166667,10000,16.70833333,7.977916667,
8/21/2023,105.98,63.58333333,10000,36.625,9.011666667,0.18
8/22/2023,97.11,70.125,9660.125,62.5,16.25125,1.59
8/23/2023,104.11,66.625,10000,24.375,10.21833333,
8/24/2023,108.05,58.91666667,10000,40.33333333,7.965416667,
8/25/2023,104.02,54.70833333,10000,40,7.892916667,0.3
8/26/2023,105.06,65.25,10000,30,6.550833333,
8/27/2023,109.09,56.625,10000,6.958333333,9.255416667,
8/28/2023,104,62,10000,31.875,9.6625,2.24
8/29/2023,99.05,59.16666667,10000,25.41666667,11.65291667,0.49
8/30/2023,101.05,46.45833333,10000,16.66666667,9.545833333,
8/31/2023,100.02,46.75,10000,15.83333333,6.7275,
9/1/2023,101.05,51.125,10000,19.79166667,5.775416667,
9/2/2023,100.06,62.25,10000,29.16666667,7.220416667,0.29
9/3/2023,101.08,67.04166667,10000,32.70833333,8.53125,
9/4/2023,97.02,72.16666667,10000,26.75,10.95583333,0.83
9/5/2023,102.02,72.08333333,10000,43.41666667,12.3325,1.03
9/6/2023,104.11,69.5,10000,20.33333333,8.18,0.15
9/7/2023,104.11,67.5,10000,37.70833333,8.46375,
9/8/2023,106.05,66.04166667,10000,17.91666667,9.24375,2.34
9/9/2023,98.1,67.68,9457.52,35.4,10.6992,9.88
9/10/2023,98.06,51.66666667,10000,40.41666667,9.6875,0.25
9/11/2023,98.06,49.25,10000,11.04166667,6.895833333,
9/12/2023,99.03,61,10000,39.79166667,6.505416667,
9/13/2023,95.05,63.58333333,10000,65.75,8.318333333,8.62
9/14/2023,92.05,81.43333333,8315.689655,78.3,7.991333333,25.9
9/15/2023,93.09,84.88461538,8788.416667,57.15384615,9.865769231,33.87
9/16/2023,93.02,81.92307692,10000,20.57692308,7.056538462,18.01
9/17/2023,95.04,72.625,10000,31.66666667,7.827916667,1.75
9/18/2023,96.04,57.45833333,10000,30.83333333,4.878333333,
9/19/2023,95.11,56.20833333,10000,23.75,7.032083333,
9/20/2023,97.05,64.66666667,10000,37.91666667,10.97375,
9/21/2023,99.01,71.66666667,10000,22.70833333,9.665833333,0.12
9/22/2023,98.98,71.66666667,10000,18.875,10.36208333,0.68
9/23/2023,98.11,71.29166667,10000,13.75,9.415,0.68
9/24/2023,100.11,73.5,10000,23.95833333,10.81625,
9/25/2023,94.98,75.10714286,8923,47.67857143,10.44285714,11.31
